   Compiling ahc025 v0.1.0 (/home/light/kyopro/ahc025)
    Finished dev [unoptimized + debuginfo] target(s) in 0.40s
     Running `target/debug/test a`
491 1258177 22.986666 13
770 1247676 15.705882 12
273 1247350 3.2098765 12
997 1242045 11.694118 19
73 1241505 6.12 5
229 1240614 7.0857143 4
486 1239428 6.5 4
275 1237909 13.894737 14
129 1235569 5.3404255 9
734 1234487 8.430769 10
88 1231934 7.5666666 5
445 1231108 16.432432 4
353 1228514 26.397959 21
537 1223897 11.05 13
846 1223624 17.884058 4
375 1210859 7.4333334 7
854 1210386 2.676923 9
197 1204786 10.22807 13
797 1197255 3.090909 5
289 1194857 9.240506 7
812 1194849 29.659575 10
363 1194074 11.6875 5
452 1191206 21.746666 17
255 1190701 2.301205 2
524 1187356 11.482142 9
166 1185502 8.056338 15
223 1185385 5.2537313 10
11 1176606 5.762712 13
278 1175558 20.87324 7
512 1171409 2.9375 3
928 1170173 26.280703 8
32 1169213 4.2394366 8
410 1168629 15.096774 14
915 1168415 3.1630435 3
652 1163874 8.064102 4
92 1163091 18.113207 9
694 1161013 5.7936506 10
111 1153985 3.490909 11
52 1153564 3.152174 6
39 1153291 3.5081968 4
885 1150270 11 8
633 1141393 10.543478 20
89 1140955 27.966291 13
94 1140101 30.439394 2
764 1139112 7.6 9
380 1137611 29.886793 7
720 1136473 11.130953 14
752 1134081 5.5925927 8
563 1133616 23.913044 4
862 1132668 25.76923 7
596 1130158 7.9772725 9
431 1126669 29.170732 7
940 1125849 15.753425 11
930 1121094 16.363636 4
678 1112957 27.295454 7
863 1110444 6.542857 3
893 1108081 19.477272 3
81 1102197 18.83721 18
303 1099525 19.61017 4
196 1099321 2.8235295 6
982 1094235 2.313433 3
21 1092929 30.41573 17
182 1090217 4.4526315 12
733 1087326 28.792683 5
534 1084824 31.45679 9
473 1079435 16.767857 4
428 1068625 7.3950615 7
195 1063063 3.0120482 9
425 1059300 24.466667 7
377 1058250 3.0192308 6
176 1054432 10.407895 8
556 1054227 8.555555 7
984 1054181 2.5301204 5
735 1051816 2.4615386 7
614 1049927 18.071428 12
376 1049483 23.173914 6
235 1047990 17.872093 15
457 1042801 8.727273 2
249 1042710 3.7765958 8
737 1036903 6.4545455 10
655 1027501 12.226415 2
654 1026804 7.3404255 8
78 1025707 3.4285715 8
935 1014537 31.376345 23
971 1010581 7.7789474 7
284 1010364 14.903226 6
810 1002384 18.372093 10
515 1002113 7.2125 13
660 1000801 5.388889 2
206 997201 7.8539324 2
398 990505 15.923077 8
543 990066 12.967033 6
354 989195 13.644068 14
47 988835 5.559322 12
260 986150 5.9270835 2
544 985663 2.918033 7
465 974864 2.4666667 3
177 971370 8.686567 6
766 962861 25.714285 11
416 962848 6.0612245 8
794 960312 8.132075 4
920 959750 4.5128207 2
413 958251 16.854546 4
393 957126 30.436619 15
209 956785 5.075949 15
792 955501 5.2604165 2
338 955201 2.6857142 2
844 951954 2.857143 3
639 946384 6.712766 18
744 943182 7.3846154 6
547 941898 5.428571 9
793 941355 26.507246 15
681 938866 23.064516 21
448 937901 4.9428573 2
90 933314 5.8405795 11
490 930531 8.636364 9
14 926800 11.36 11
769 924436 3 5
199 921955 5.9375 9
689 919127 15.225806 23
347 907710 5.2 6
557 907123 14.509804 4
461 900587 27.766666 3
749 897295 27.727272 6
814 891563 3.0666666 7
952 889110 6.9428573 7
414 888800 31.73494 5
258 888423 11.132653 19
857 887164 23.265957 21
361 886280 4.03125 5
208 884750 3.6 2
155 879322 13.125 15
584 878752 31.48 4
972 878181 9.306123 12
650 870386 14.231884 3
402 865807 4.0434785 7
905 865049 15.714286 13
334 863538 2.4558823 3
622 862959 4.3965516 7
22 858850 9.45 2
781 857615 5.4210525 3
259 855345 5.0851064 9
969 849598 12.0125 18
214 847669 17.452381 9
958 845865 7.693182 11
909 840510 25.842857 9
658 838021 23.5 3
7 832382 3.721519 5
352 832314 13.153846 11
220 830550 29.010988 14
406 829223 16.741177 15
85 826865 14 22
292 822799 2.390244 4
36 822259 6.3703704 6
709 819250 2.0555556 2
478 818663 21.180851 21
555 813753 22.842857 4
248 812169 14.219178 14
362 808956 8.366667 4
187 808416 19.745098 8
83 807904 4.112676 5
287 805773 26.484375 3
625 805286 25.85965 4
962 801557 5.8 3
40 799367 9.761905 5
672 796861 7.880597 9
342 794850 9.818182 2
610 792517 22 13
58 791601 29.938776 8
825 785375 13.190476 3
509 784101 5.242424 2
147 783401 20.7375 2
293 779602 18.838385 5
188 779058 30.227272 9
42 774335 28.574713 9
31 773850 4.3050847 2
607 773026 2 3
435 766878 22.89 23
104 764320 11.414142 13
532 762327 7.225806 6
51 762031 11.888889 6
813 757012 9.806452 7
67 754970 30.014286 11
35 751805 4.9166665 6
300 750487 14.28125 7
